symbol,company,weight,sector,shares_held
MDCO,Medicines Company,0.001182738389372373,Health Care,8575
IIVI,II-VI Incorporated,0.0011817449806393167,Technology,7243
MTDR,Matador Resources Company,0.0011813837411000236,Energy,11671
MRCY,Mercury Systems Inc.,0.0011792263382959117,Technology,5789
LANC,Lancaster Colony Corporation,0.0011788249610300305,Consumer Staples,2466
AKR,Acadia Realty Trust,0.0011744399144002775,Financial Services,9911
GVA,Granite Construction Incorporated,0.0011715700669492261,Producer Durables,5122
BYD,Boyd Gaming Corporation,0.0011604519166843147,Consumer Discretionary,10656
ONB,Old National Bancorp,0.0011588765109157306,Financial Services,16078
GATX,GATX Corporation,0.0011554246664291516,Producer Durables,4687
CVA,Covanta Holding Corporation,0.0011541703624732727,Producer Durables,19132
BIG,Big Lots Inc.,0.0011531167471503345,Consumer Discretionary,5650
CVBF,CVB Financial Corp.,0.0011525748878413948,Financial Services,12563
TIVO,TiVo Corp.,0.0011509794132095164,Technology,15882
LXP,Lexington Realty Trust,0.0011500462110663426,Financial Services,27854
RP,RealPage Inc.,0.0011499157634549313,Technology,6907
FMBI,First Midwest Bancorp Inc.,0.0011490628367649333,Financial Services,12573
CMP,Compass Minerals International Inc.,0.0011463033680619997,Materials & Processing,4407
BRKS,Brooks Automation Inc.,0.001146182954882235,Technology,9363
WRE,Washington Real Estate Investment Trust,0.0011406740519080145,Financial Services,8713
FOLD,Amicus Therapeutics Inc.,0.0011398211252180168,Health Care,20419
UE,Urban Edge Properties,0.0011378644110468456,Financial Services,11591
OLLI,Ollie's Bargain Outlet Holdings Inc,0.0011347938749628537,Consumer Discretionary,6409
SSD,Simpson Manufacturing Co. Inc.,0.0011327669197701534,Materials & Processing,5887
RXN,Rexnord Corporation,0.0011286628372265172,Materials & Processing,11290
MGEE,MGE Energy Inc.,0.0011275189120187558,Utilities,4280
EE,El Paso Electric Company,0.0011271677069111094,Utilities,4944
ESV,Ensco plc Class A,0.0011268265362351104,Energy,54070
HZNP,Horizon Pharma plc,0.001122341145288887,Health Care,20664
SGMS,Scientific Games Corporation Class A,0.0011220401123394762,Consumer Discretionary,6351
HYH,Halyard Health Inc,0.0011208961871317143,Health Care,6420
CVG,Convergys Corporation,0.0011202941212328924,Producer Durables,10991
SKYW,SkyWest Inc,0.0011197923996505408,Producer Durables,6174
AIT,Applied Industrial Technologies Inc.,0.0011177654444578405,Producer Durables,4490
GWB,Great Western Bancorp Inc.,0.0011167620012931373,Financial Services,7067
DECK,Deckers Outdoor Corporation,0.0011164408994804322,Consumer Discretionary,4330
PFGC,Performance Food Group Company,0.0011155076973372582,Consumer Staples,10098
PLNT,Planet Fitness Inc. Class A,0.0011143938754244378,Consumer Discretionary,10603
MMSI,Merit Medical Systems Inc.,0.0011131295370369117,Health Care,6616
CMC,Commercial Metals Company,0.0011127783319292656,Materials & Processing,13918
HOPE,Hope Bancorp Inc.,0.0011127080909077362,Financial Services,15922
TRMK,Trustmark Corporation,0.0011083029754146894,Financial Services,8448
RLI,RLI Corp.,0.0010995128132918893,Financial Services,4901
KFY,Korn/Ferry International,0.001097255066171307,Producer Durables,7068
GDOT,Green Dot Corporation Class A,0.001096923929926955,Financial Services,5200
AJRD,Aerojet Rocketdyne Holdings Inc.,0.0010954990406330763,Producer Durables,7920
PRTA,Prothena Corp. Plc,0.0010933215689656703,Health Care,4647
HI,Hillenbrand Inc.,0.0010900904819753261,Producer Durables,7117
ENV,Envestnet Inc.,0.001089458312781563,Technology,5155
FLOW,SPX Flow Inc.,0.0010886455238181534,Producer Durables,6845
KMPR,Kemper Corporation,0.0010880534923509786,Financial Services,4916
EGBN,Eagle Bancorp Inc.,0.0010857556075038082,Financial Services,4082
GCP,GCP Applied Technologies Inc.,0.0010731021891969008,Materials & Processing,8628
NAV,Navistar International Corporation,0.0010676434583809155,Producer Durables,6231
ATGE,Adtalem Global Education Inc.,0.001067502976337857,Consumer Discretionary,7698
STAG,STAG Industrial Inc.,0.0010666299807845653,Financial Services,9683
IRWD,Ironwood Pharmaceuticals Inc. Class A,0.0010662085346553898,Health Care,17425
CPE,Callon Petroleum Company,0.0010654358834185683,Energy,24884
AEO,American Eagle Outfitters Inc.,0.0010645428190019825,Consumer Discretionary,20856
VIAV,Viavi Solutions Inc.,0.001063750098901867,Technology,28140
DRH,DiamondRock Hospitality Company,0.0010623051407446943,Financial Services,24497
LC,LendingClub Corp,0.0010581308171795291,Financial Services,42538
SITE,SiteOne Landscape Supply Inc.,0.001053404599873777,Consumer Discretionary,4282
GLNG,Golar LNG Limited,0.0010528727749964844,Energy,11919
ABCO,Advisory Board Company,0.0010504344081062554,Producer Durables,4975
UCBI,United Community Banks Inc.,0.0010489593466541417,Financial Services,9462
EFII,Electronics For Imaging Inc.,0.001043741442197685,Producer Durables,6356
PEGA,Pegasystems Inc.,0.001043360133795098,Technology,4417
MDR,McDermott International Inc.,0.0010425373104000412,Energy,38459
MTOR,Meritor Inc.,0.0010423767594936887,Consumer Discretionary,10262
ARRY,Array BioPharma Inc.,0.0010355934837002951,Health Care,21251
BGS,B&G Foods Inc.,0.0010347305225786503,Consumer Staples,8115
MGLN,Magellan Health Inc.,0.0010335263907810064,Health Care,3075
ALEX,Alexander & Baldwin Inc.,0.0010326433607960677,Financial Services,5767
LOXO,Loxo Oncology Inc,0.001030626440035014,Health Care,2936
CCOI,Cogent Communications Holdings Inc,0.001029954133114663,Utilities,5269
BID,Sotheby's Class A,0.0010289205866550188,Consumer Discretionary,5226
RARE,Ultragenyx Pharmaceutical Inc.,0.0010270040102104356,Health Care,4814
SBGI,Sinclair Broadcast Group Inc. Class A,0.0010259403604558502,Consumer Discretionary,8833
CSOD,Cornerstone Ondemand Inc.,0.0010257798095494976,Technology,6692
SAGE,SAGE Therapeutics Inc.,0.0010176519199154017,Health Care,4186
TWLO,Twilio Inc. Class A,0.0010142703164503519,Technology,8061
DOOR,Masonite International Corp.,0.0010136180783932949,Materials & Processing,3862
NTB,Bank of N.T. Butterfield & Son Limited (The),0.0010135076996451774,Financial Services,7155
CLI,Mack-Cali Realty Corporation,0.001013016012494473,Financial Services,10953
FELE,Franklin Electric Co. Inc.,0.0010126046007969446,Producer Durables,5700
MLHR,Herman Miller Inc.,0.0010106779899207146,Producer Durables,7137
HNI,HNI Corporation,0.0010082195541671916,Producer Durables,6073
IRBT,iRobot Corporation,0.0010081693820089565,Technology,3259
CTB,Cooper Tire & Rubber Company,0.001004245919234967,Consumer Discretionary,6910
HA,Hawaiian Holdings Inc.,0.0010040351961703791,Producer Durables,6572
CWT,California Water Service Group,0.0010028812365309705,Utilities,6132
VGR,Vector Group Ltd.,0.0010015165538269741,Consumer Staples,12268
HALO,Halozyme Therapeutics Inc.,9.996802528355673e-4,Health Care,14353
PLAY,Dave & Buster's Entertainment Inc.,9.924153243231163e-4,Consumer Discretionary,5467
POWI,Power Integrations Inc.,9.92375186596528e-4,Technology,3449
ODP,Office Depot Inc.,9.875486249743056e-4,Consumer Discretionary,67406
WOR,Worthington Industries Inc.,9.858829093208983e-4,Materials & Processing,5703
AWR,American States Water Company,9.85150395810665e-4,Utilities,4745
PCH,Potlatch Corporation,9.841870903725498e-4,Financial Services,4869
SEMG,SemGroup Corporation Class A,9.840064706029034e-4,Energy,8722
UNFI,United Natural Foods Inc.,9.828525109634946e-4,Consumer Staples,6154
FNGN,Financial Engines Inc.,9.788588071679759e-4,Financial Services,6781
INDB,Independent Bank Corp.,9.787986005780937e-4,Financial Services,3388
INSM,Insmed Incorporated,9.78597911945153e-4,Health Care,8999
AERI,Aerie Pharmaceuticals Inc.,9.752865495016325e-4,Health Care,3955
HL,Hecla Mining Company,9.736107994165782e-4,Materials & Processing,47613
GMED,Globus Medical Inc. Class A,9.636867465176634e-4,Health Care,8483
ROIC,Retail Opportunity Investments Corp.,9.633857135682524e-4,Financial Services,12769
OAS,Oasis Petroleum Inc.,9.618905832528446e-4,Energy,29232
JJSF,J & J Snack Foods Corp.,9.601646610095551e-4,Consumer Staples,1858
KALU,Kaiser Aluminum Corporation,9.579771549105021e-4,Materials & Processing,2301
EXLS,ExlService Holdings Inc.,9.553380993873328e-4,Producer Durables,4037
PZZA,Papa John's International Inc.,9.552879272290975e-4,Consumer Discretionary,3441
BLMN,Bloomin' Brands Inc.,9.546758268986287e-4,Consumer Discretionary,13761
DORM,Dorman Products Inc.,9.546356891720405e-4,Consumer Discretionary,3513
CLF,Cleveland-Cliffs Inc,9.542343119061592e-4,Materials & Processing,35613
DK,Delek US Holdings Inc,9.541239331580419e-4,Energy,9240
UFPI,Universal Forest Products Inc.,9.525485273894578e-4,Materials & Processing,2428
MDP,Meredith Corporation,9.513744988867552e-4,Consumer Discretionary,4444
MATW,Matthews International Corporation Class A,9.483441005293514e-4,Consumer Discretionary,3889
PRGS,Progress Software Corporation,9.471299343000605e-4,Technology,5926
FRME,First Merchants Corporation,9.458655959125345e-4,Financial Services,5552
CAKE,Cheesecake Factory Incorporated,9.43808537424893e-4,Consumer Discretionary,5731
HAWK,Blackhawk Network Holdings Inc.,9.433369191374824e-4,Financial Services,6851
REXR,Rexford Industrial Realty Inc.,9.39463628521728e-4,Financial Services,7876
PRLB,Proto Labs Inc.,9.394034219318459e-4,Producer Durables,3007
PENN,Penn National Gaming Inc.,9.392729743204344e-4,Consumer Discretionary,10147
MLI,Mueller Industries Inc.,9.378380505949089e-4,Materials & Processing,6852
PLXS,Plexus Corp.,9.36342920279501e-4,Technology,4072
PLCE,Children's Place Inc.,9.34446412698212e-4,Consumer Discretionary,2260
ALGT,Allegiant Travel Company,9.335633827132732e-4,Producer Durables,1689
KS,KapStone Paper and Packaging Corporation,9.326703182966874e-4,Materials & Processing,10610
MWA,Mueller Water Products Inc. Class A,9.317772538801015e-4,Materials & Processing,18938
SUPN,Supernus Pharmaceuticals Inc.,9.313959454775143e-4,Health Care,5757
CFFN,Capitol Federal Financial Inc.,9.309544304850449e-4,Financial Services,16025
LTXB,LegacyTexas Financial Group Inc.,9.301316070899883e-4,Financial Services,6082
APAM,Artisan Partners Asset Management Inc. Class A,9.296800576658718e-4,Financial Services,6879
ABCB,Ameris Bancorp,9.280645141706997e-4,Financial Services,4743
PSMT,PriceSmart Inc.,9.262482820425868e-4,Consumer Discretionary,2636
SEM,Select Medical Holdings Corporation,9.246728762740028e-4,Health Care,13187
RUSHA,Rush Enterprises Inc. Class A,9.232479869801243e-4,Producer Durables,5108
AMN,AMN Healthcare Services Inc.,9.22515473469891e-4,Health Care,5661
GNW,Genworth Financial Inc. Class A,9.220338207508333e-4,Financial Services,61295
HTH,Hilltop Holdings Inc.,9.207393790683664e-4,Financial Services,8978
FOE,Ferro Corporation,9.191439044364881e-4,Materials & Processing,10175
IVR,Invesco Mortgage Capital Inc.,9.19063628983312e-4,Financial Services,13422
TDOC,Teladoc Inc,9.140464131597959e-4,Health Care,7103
BANR,Banner Corporation,9.133741062394447e-4,Financial Services,3808
ACXM,Acxiom Corporation,9.071025864600497e-4,Technology,9375
KWR,Quaker Chemical Corporation,9.048047016128794e-4,Materials & Processing,1526
PFS,Provident Financial Services Inc.,9.010618586085365e-4,Financial Services,8322
EXPO,Exponent Inc.,8.999881744223041e-4,Producer Durables,3088
CCMP,Cabot Microelectronics Corporation,8.999380022640689e-4,Materials & Processing,2786
NPO,EnPro Industries Inc.,8.982321488840734e-4,Producer Durables,2819
CHSP,Chesapeake Lodging Trust,8.975899452586634e-4,Financial Services,8037
SRCI,SRC Energy Inc,8.911378057096217e-4,Energy,24540
WTS,Watts Water Technologies Inc. Class A,8.897530541423313e-4,Producer Durables,3355
WDR,Waddell & Reed Financial Inc. Class A,8.87465203726808e-4,Financial Services,11160
CBI,Chicago Bridge & Iron Co. NV,8.862008653392821e-4,Producer Durables,14255
TVPT,Travelport Worldwide Ltd.,8.847759760454034e-4,Consumer Discretionary,14250
CPS,Cooper-Standard Holdings Inc.,8.781231478634212e-4,Consumer Discretionary,1953
ETSY,Etsy Inc.,8.778522182089514e-4,Consumer Discretionary,13833
CARS,Cars.com Inc.,8.7745084094307e-4,Consumer Discretionary,8169
NXTM,NxStage Medical Inc.,8.772200490151882e-4,Health Care,8093
PPBI,Pacific Premier Bancorp Inc.,8.72453693982848e-4,Financial Services,5561
HRG,HRG Group Inc.,8.706575307180294e-4,Financial Services,14367
TROX,Tronox Ltd. Class A,8.703966354952065e-4,Materials & Processing,8649
OMCL,Omnicell Inc.,8.691925036975627e-4,Health Care,4321
SHEN,Shenandoah Telecommunications Company,8.679683030366249e-4,Utilities,5718
RDUS,Radius Health Inc,8.665534481743933e-4,Health Care,5888
JELD,JELD-WEN Holding Inc.,8.63021328234638e-4,Materials & Processing,6147
