symbol,company,last.sale.price,market.cap,ipo.year,sector,industry
ADC,Agree Realty Corporation,61.7,$2.32B,NA,Consumer Services,Real Estate Investment Trusts
AL,Air Lease Corporation,37.51,$4.16B,2011,Technology,Diversified Commercial Services
APD,"Air Products and Chemicals, Inc.",158.62,$34.82B,NA,Basic Industries,Major Chemicals
AYR,Aircastle Limited,20.5,$1.56B,2006,Technology,Diversified Commercial Services
AKS,AK Steel Holding Corporation,2.72,$858.27M,NA,Basic Industries,Steel/Iron Ore
ALP^Q,Alabama Power Company,25.2,NA,NA,NA,NA
ALG,"Alamo Group, Inc.",85.97,$1.01B,NA,Capital Goods,Industrial Machinery/Components
AGI,Alamos Gold Inc.,3.83,$1.5B,2015,Basic Industries,Precious Metals
ALK,"Alaska Air Group, Inc.",64.86,$8B,NA,Transportation,Air Freight/Delivery Services
AIN,Albany International Corporation,69.21,$2.23B,NA,Basic Industries,Textiles
ALB,Albemarle Corporation,76.63,$8.14B,NA,Basic Industries,Major Chemicals
AA,Alcoa Corporation,29.27,$5.46B,2016,Basic Industries,Aluminum
ALEX,"Alexander & Baldwin, Inc.",22.25,$1.6B,NA,Consumer Services,Real Estate Investment Trusts
ALX,"Alexander&#39;s, Inc.",317.33,$1.62B,NA,Consumer Services,Real Estate Investment Trusts
ARE,"Alexandria Real Estate Equities, Inc.",124.26,$13.36B,NA,Consumer Services,Real Estate Investment Trusts
ARE^D,"Alexandria Real Estate Equities, Inc.",34.378,NA,NA,NA,NA
AQN,Algonquin Power & Utilities Corp.,10.66,$5.21B,2016,Public Utilities,Electric Utilities: Central
AQNA,Algonquin Power & Utilities Corp.,25.84,NA,2018,Public Utilities,Electric Utilities: Central
BABA,Alibaba Group Holding Limited,157.02,$407.02B,2014,Miscellaneous,Business Services
Y,Alleghany Corporation,619.59,$9.19B,NA,Finance,Property-Casualty Insurers
ATI,Allegheny Technologies Incorporated,25.47,$3.2B,NA,Basic Industries,Steel/Iron Ore
ALLE,Allegion plc,83.51,$7.94B,2013,Consumer Services,Diversified Commercial Services
AGN,Allergan plc.,160.22,$54.04B,2013,Health Care,Major Pharmaceuticals
ALE,"Allete, Inc.",75.28,$3.87B,NA,Public Utilities,Power Generation
AKP,Alliance California Municipal Income Fund Inc,13.82,$118.23M,2002,NA,NA
ADS,Alliance Data Systems Corporation,172.52,$9.4B,2001,Miscellaneous,Business Services
AFB,Alliance National Municipal Income Fund Inc,12.48,$358.74M,2002,NA,NA
AWF,Alliance World Dollar Government Fund II,11.04,$951.98M,1993,NA,NA
AB,AllianceBernstein Holding L.P.,30.09,$2.9B,NA,Finance,Investment Managers
CBH,AllianzGI Convertible & Income 2024 Target Term Fund,8.71,$159.02M,2017,NA,NA
NCV,AllianzGI Convertible & Income Fund,5.98,$535.45M,2003,NA,NA
NCV^A,AllianzGI Convertible & Income Fund,24.1,NA,NA,NA,NA
NCZ,AllianzGI Convertible & Income Fund II,5.22,$394.21M,2003,NA,NA
NCZ^A,AllianzGI Convertible & Income Fund II,23.3524,NA,NA,NA,NA
ACV,AllianzGI Diversified Income & Convertible Fund,20.95,$216.02M,2015,NA,NA
NIE,AllianzGI Equity & Convertible Income Fund,20.3,$562.49M,2007,NA,NA
NFJ,"AllianzGI NFJ Dividend, Interest & Premium Strategy Fund",11.78,$1.12B,2005,Finance,Finance: Consumer Services
ALSN,"Allison Transmission Holdings, Inc.",49.9,$6.47B,2012,Capital Goods,Auto Parts:O.E.M.
ALL,Allstate Corporation (The),85.7,$29.52B,NA,Finance,Property-Casualty Insurers
ALL^A,Allstate Corporation (The),25.25,NA,NA,NA,NA
ALL^B,Allstate Corporation (The),24.79,NA,NA,NA,NA
ALL^D,Allstate Corporation (The),25.38,NA,NA,NA,NA
ALL^E,Allstate Corporation (The),25.31,NA,NA,NA,NA
ALL^F,Allstate Corporation (The),25.55,NA,NA,NA,NA
ALL^G,Allstate Corporation (The),24.72,NA,NA,NA,NA
ALLY,Ally Financial Inc.,26.14,$10.8B,2014,Finance,Major Banks
ALLY^A,Ally Financial Inc.,25.82,NA,NA,NA,NA
AYX,"Alteryx, Inc.",73.52,$4.51B,2017,Technology,Computer Software: Prepackaged Software
ATUS,"Altice USA, Inc.",19.07,$13.64B,2017,Consumer Services,Television Services
MO,Altria Group,48.31,$90.78B,NA,Consumer Non-Durables,Farming/Seeds/Milling
ACH,Aluminum Corporation of China Limited,9.29,$5.54B,2001,Basic Industries,Aluminum
AMBR,"Amber Road, Inc.",8.43,$234.29M,2014,Technology,Computer Software: Prepackaged Software
ABEV,Ambev S.A.,4.75,$74.68B,2013,Consumer Non-Durables,Beverages (Production/Distribution)
AMC,"AMC Entertainment Holdings, Inc.",14.46,$1.5B,2013,Consumer Services,Movies/Entertainment
AEE,Ameren Corporation,67.24,$16.43B,NA,Public Utilities,Power Generation
AMRC,"Ameresco, Inc.",15.22,$699.76M,2010,Basic Industries,Engineering & Construction
AMOV,"America Movil, S.A.B. de C.V.",15.58,$51.44B,NA,Public Utilities,Telecommunications Equipment
AMX,"America Movil, S.A.B. de C.V.",15.85,$52.33B,NA,Public Utilities,Telecommunications Equipment
AAT,"American Assets Trust, Inc.",40.73,$1.92B,2011,Consumer Services,Real Estate Investment Trusts
AXL,"American Axle & Manufacturing Holdings, Inc.",14.61,$1.63B,NA,Capital Goods,Auto Parts:O.E.M.
ACC,American Campus Communities Inc,43.41,$5.95B,2004,Consumer Services,Real Estate Investment Trusts
AEO,"American Eagle Outfitters, Inc.",20.66,$3.65B,NA,Consumer Services,Clothing/Shoe/Accessory Stores
AEP,"American Electric Power Company, Inc.",76.09,$37.52B,NA,Public Utilities,Electric Utilities: Central
AEL,American Equity Investment Life Holding Company,30.91,$2.79B,2003,Finance,Life Insurance
AXP,American Express Company,100.48,$85.84B,NA,Finance,Finance: Consumer Services
AFG,"American Financial Group, Inc.",95.96,$8.56B,NA,Finance,Property-Casualty Insurers
AFGE,"American Financial Group, Inc.",25.54,NA,2014,Finance,Property-Casualty Insurers
AFGH,"American Financial Group, Inc.",25.66,NA,2015,Finance,Property-Casualty Insurers
AMH,American Homes 4 Rent,21.44,$6.36B,2013,Consumer Services,Real Estate Investment Trusts
AMH^D,American Homes 4 Rent,23.55,NA,NA,NA,NA
AMH^E,American Homes 4 Rent,23.27,NA,NA,NA,NA
AMH^F,American Homes 4 Rent,21.45,NA,NA,NA,NA
AMH^G,American Homes 4 Rent,21.74,NA,NA,NA,NA
AMH^H,American Homes 4 Rent,23.05,NA,NA,NA,NA
AIG,"American International Group, Inc.",44.16,$39.07B,NA,Finance,Property-Casualty Insurers
AIG.WS,"American International Group, Inc.",NA,NA,NA,NA,NA
AMID,"American Midstream Partners, LP",3.84,$206.65M,2011,Public Utilities,Natural Gas Distribution
ARL,"American Realty Investors, Inc.",12.7,$203.16M,NA,Finance,Real Estate
ARA,"American Renal Associates Holdings, Inc",12.71,$413.29M,2016,Health Care,Hospital/Nursing Management
AWR,American States Water Company,65.3,$2.4B,NA,Public Utilities,Water Supply
AMT,American Tower Corporation (REIT),164.67,$72.54B,NA,Consumer Services,Real Estate Investment Trusts
AVD,American Vanguard Corporation,17.1,$518.47M,NA,Basic Industries,Agricultural Chemicals
AWK,American Water Works,92.61,$16.73B,2008,Public Utilities,Water Supply
COLD,Americold Realty Trust,28.26,$4.18B,2018,Consumer Services,Real Estate Investment Trusts
APU,"AmeriGas Partners, L.P.",29.69,$2.76B,NA,Consumer Services,Other Specialty Stores
AMP,"AMERIPRISE FINANCIAL SERVICES, INC.",121.11,$16.88B,NA,Finance,Investment Managers
ABC,AmerisourceBergen Corporation (Holding Co),79.86,$16.93B,NA,Health Care,Other Pharmaceuticals
ANFI,Amira Nature Foods Ltd,0.7849,$29.76M,2012,Consumer Non-Durables,Packaged Foods
AMN,AMN Healthcare Services Inc,62.77,$2.94B,NA,Technology,Professional Services
AMRX,"Amneal Pharmaceuticals, Inc.",12.42,$3.71B,2018,NA,NA
AP,Ampco-Pittsburgh Corporation,4.18,$52.23M,NA,Capital Goods,Fluid Controls
APH,Amphenol Corporation,82.49,$24.86B,NA,Capital Goods,Electrical Products
AXR,AMREP Corporation,6.44,$52.34M,NA,Consumer Services,Newspapers/Magazines
AME,"AMTEK, Inc.",72.36,$16.8B,NA,Consumer Durables,Metal Fabrications
AFSI^A,"AmTrust Financial Services, Inc.",14.13,NA,NA,NA,NA
AFSI^B,"AmTrust Financial Services, Inc.",14.71,NA,NA,NA,NA
AFSI^C,"AmTrust Financial Services, Inc.",15.96,NA,NA,NA,NA
AFSI^D,"AmTrust Financial Services, Inc.",14.97,NA,NA,NA,NA
AFSI^E,"AmTrust Financial Services, Inc.",16.02,NA,NA,NA,NA
AFSI^F,"AmTrust Financial Services, Inc.",14.18,NA,NA,NA,NA
AFSS,"AmTrust Financial Services, Inc.",22.35,NA,2015,Finance,Property-Casualty Insurers
AFST,"AmTrust Financial Services, Inc.",22.5,NA,2015,Finance,Property-Casualty Insurers
APC,Anadarko Petroleum Corporation,48.67,$24.54B,NA,Energy,Oil & Gas Production
PLAN,"Anaplan, Inc.",29.8,$3.72B,2018,Technology,Computer Software: Prepackaged Software
ANDX,Andeavor Logistics LP,36.4,$8.94B,2011,Energy,Natural Gas Distribution
AU,AngloGold Ashanti Limited,12.07,$4.97B,NA,Basic Industries,Precious Metals
BUD,Anheuser-Busch Inbev SA,73.65,$144.1B,NA,Consumer Non-Durables,Beverages (Production/Distribution)
AXE,Anixter International Inc.,60.74,$2.03B,NA,Consumer Non-Durables,Telecommunications Equipment
NLY,Annaly Capital Management Inc,10.23,$14.21B,NA,Consumer Services,Real Estate Investment Trusts
NLY^C,Annaly Capital Management Inc,25.23,NA,NA,NA,NA
NLY^D,Annaly Capital Management Inc,25.05,NA,NA,NA,NA
NLY^F,Annaly Capital Management Inc,25.05,NA,NA,NA,NA
NLY^G,Annaly Capital Management Inc,23.03,NA,NA,NA,NA
NLY^H,Annaly Capital Management Inc,25.58,NA,NA,NA,NA
AMGP,Antero Midstream GP LP,12.74,$2.37B,2017,Public Utilities,Natural Gas Distribution
AM,Antero Midstream Partners LP,24.08,$4.5B,2014,Public Utilities,Natural Gas Distribution
AR,Antero Resources Corporation,10.82,$3.33B,2013,Energy,Oil & Gas Production
ANTM,"Anthem, Inc.",266.12,$68.83B,NA,Health Care,Medical Specialities
ANH,Anworth Mortgage Asset  Corporation,4.34,$427.34M,NA,Consumer Services,Real Estate Investment Trusts
ANH^A,Anworth Mortgage Asset  Corporation,25.6131,NA,NA,NA,NA
ANH^B,Anworth Mortgage Asset  Corporation,23.7498,NA,NA,NA,NA
ANH^C,Anworth Mortgage Asset  Corporation,24.5199,NA,NA,NA,NA
AON,Aon plc,154.41,$37.19B,NA,Finance,Specialty Insurers
APA,Apache Corporation,32.09,$12.18B,NA,Energy,Oil & Gas Production
AIV,Apartment Investment and Management Company,46.99,$7.31B,1994,Consumer Services,Real Estate Investment Trusts
AIV^A,Apartment Investment and Management Company,25.85,NA,NA,NA,NA
APY,Apergy Corporation,33.98,$2.63B,2018,Technology,Industrial Machinery/Components
APHA,Aphria Inc.,6.68,$1.67B,NA,Consumer Durables,Specialty Chemicals
ARI,Apollo Commercial Real Estate Finance,17.76,$2.38B,2009,Consumer Services,Real Estate Investment Trusts
ARI^C,Apollo Commercial Real Estate Finance,25.0689,NA,NA,NA,NA
APO,"Apollo Global Management, LLC",28.55,$11.68B,2011,Finance,Investment Managers
APO^A,"Apollo Global Management, LLC",24.56,NA,NA,NA,NA
APO^B,"Apollo Global Management, LLC",24.5,NA,NA,NA,NA
AIY,Apollo Investment Corporation,25.18,NA,2013,NA,NA
AFT,Apollo Senior Floating Rate Fund Inc.,14.6,$227.37M,2011,NA,NA
AIF,Apollo Tactical Income Fund Inc.,14.47,$209.29M,2013,NA,NA
APLE,"Apple Hospitality REIT, Inc.",15.77,$3.61B,2015,Consumer Services,Real Estate Investment Trusts
AIT,"Applied Industrial Technologies, Inc.",62.27,$2.41B,NA,Consumer Durables,Industrial Specialties
ATR,"AptarGroup, Inc.",97.69,$6.14B,NA,Consumer Non-Durables,Plastic Products
APTV,Aptiv PLC,72.93,$19.22B,2011,Capital Goods,Auto Parts:O.E.M.
WTR,"Aqua America, Inc.",34.08,$6.06B,NA,Public Utilities,Water Supply
AQ,Aquantia Corp.,8.2,$285.81M,2017,Technology,Semiconductors
WAAS,AquaVenture Holdings Limited,21.42,$572.58M,2016,Public Utilities,Water Supply
ARMK,Aramark,31.89,$7.89B,2013,Consumer Services,Restaurants
ABR,Arbor Realty Trust,11.33,$976.22M,2004,Consumer Services,Real Estate Investment Trusts
ABR^A,Arbor Realty Trust,25.6,NA,NA,NA,NA
ABR^B,Arbor Realty Trust,25.36,NA,NA,NA,NA
ABR^C,Arbor Realty Trust,25.7571,NA,NA,NA,NA
ARC,"ARC Document Solutions, Inc.",2.73,$125.01M,2004,Consumer Services,Professional Services
MT,ArcelorMittal,22.63,$22.93B,NA,Basic Industries,Steel/Iron Ore
ARCH,"Arch Coal, Inc.",86.43,$1.62B,2016,Energy,Coal Mining
ADM,Archer-Daniels-Midland Company,44.26,$24.81B,NA,Consumer Non-Durables,Packaged Foods
AROC,"Archrock, Inc.",9.64,$1.25B,NA,Public Utilities,Natural Gas Distribution
ARNC,Arconic Inc.,20.34,$9.83B,NA,Capital Goods,Metal Fabrications
ARCO,Arcos Dorados Holdings Inc.,8.71,$1.81B,2011,Consumer Services,Restaurants
ACA,"Arcosa, Inc.",29.81,$1.45B,2018,Capital Goods,Industrial Machinery/Components
RCUS,"Arcus Biosciences, Inc.",10.05,$446.76M,2018,Health Care,Major Pharmaceuticals
ARD,Ardagh Group S.A.,11.67,$2.76B,2017,Consumer Durables,Containers/Packaging
ASC,Ardmore Shipping Corporation,5.5,$182.04M,2013,Transportation,Marine Transportation
AFC,Ares Capital Corporation,25.18,$201.44M,NA,NA,NA
ACRE,Ares Commercial Real Estate Corporation,13.92,$399.48M,2012,Consumer Services,Real Estate Investment Trusts
ARDC,"Ares Dynamic Credit Allocation Fund, Inc.",14.34,$329.28M,2012,NA,NA
ARES,Ares Management Corporation,20.05,$4.38B,2014,Finance,Investment Managers
ARES^A,Ares Management Corporation,25.96,NA,NA,NA,NA
AGX,"Argan, Inc.",40.69,$633.57M,NA,Basic Industries,Engineering & Construction
ARGD,"Argo Group International Holdings, Ltd.",25.11,NA,NA,Finance,Specialty Insurers
ARGO,"Argo Group International Holdings, Ltd.",65.09,$2.21B,NA,Finance,Specialty Insurers
ANET,"Arista Networks, Inc.",232.08,$17.51B,2014,Technology,Computer Communications Equipment
AI,Arlington Asset Investment Corp,8.15,$247.32M,NA,Finance,Finance/Investors Services
AI^B,Arlington Asset Investment Corp,22.6,NA,NA,NA,NA
AIC,Arlington Asset Investment Corp,22.99,NA,2015,Finance,Finance/Investors Services
AIW,Arlington Asset Investment Corp,23.311,NA,NA,Finance,Finance/Investors Services
ARLO,"Arlo Technologies, Inc.",7.54,$559.82M,2018,Consumer Non-Durables,Consumer Electronics/Appliances
AHH,"Armada Hoffler Properties, Inc.",14.54,$721.59M,2013,Finance,Real Estate
ARR,"ARMOUR Residential REIT, Inc.",20.64,$902.03M,NA,Consumer Services,Real Estate Investment Trusts
ARR^A,"ARMOUR Residential REIT, Inc.",25.22,NA,NA,NA,NA
ARR^B,"ARMOUR Residential REIT, Inc.",24.21,NA,NA,NA,NA
AFI,"Armstrong Flooring, Inc.",13.26,$342.47M,2016,Consumer Non-Durables,Plastic Products
AWI,Armstrong World Industries Inc,64.91,$3.22B,NA,Consumer Non-Durables,Plastic Products
ARW,"Arrow Electronics, Inc.",75.31,$6.56B,NA,Consumer Non-Durables,Electronic Components
AJG,Arthur J. Gallagher & Co.,74.41,$13.67B,NA,Finance,Specialty Insurers
APAM,Artisan Partners Asset Management Inc.,23.16,$1.78B,2013,Finance,Investment Managers
ASA,ASA Gold and Precious Metals Limited,9.28,$179.01M,NA,NA,NA
ABG,Asbury Automotive Group Inc,72.63,$1.42B,2002,Consumer Durables,Automotive Aftermarket
ASX,"ASE Technology Holding Co., Ltd.",3.83,$8B,2018,Technology,Semiconductors
ASGN,ASGN Incorporated,62.08,$3.26B,1992,Technology,Professional Services
AHT,Ashford Hospitality Trust Inc,4.83,$488.02M,2003,Consumer Services,Real Estate Investment Trusts
AHT^D,Ashford Hospitality Trust Inc,24.9,NA,NA,NA,NA
AHT^F,Ashford Hospitality Trust Inc,21.08,NA,NA,NA,NA
AHT^G,Ashford Hospitality Trust Inc,20.64,NA,NA,NA,NA
AHT^H,Ashford Hospitality Trust Inc,21.24,NA,NA,NA,NA
AHT^I,Ashford Hospitality Trust Inc,21.24,NA,NA,NA,NA
ASH,Ashland Global Holdings Inc.,78.21,$4.89B,NA,Consumer Durables,Specialty Chemicals
APB,"Asia Pacific Fund, Inc. (The)",11.53,$119.27M,NA,NA,NA
ASPN,"Aspen Aerogels, Inc.",2.74,$65.68M,2014,Consumer Services,RETAIL: Building Materials
AHL,Aspen Insurance Holdings Limited,42.27,$2.52B,2003,Finance,Property-Casualty Insurers
AHL^C,Aspen Insurance Holdings Limited,24.76,NA,NA,NA,NA
AHL^D,Aspen Insurance Holdings Limited,23.37,NA,NA,NA,NA
ASB,Associated Banc-Corp,21.66,$3.59B,NA,Finance,Major Banks
ASB^C,Associated Banc-Corp,25.65,NA,NA,NA,NA
ASB^D,Associated Banc-Corp,23.85,NA,NA,NA,NA
ASB^E,Associated Banc-Corp,25,NA,NA,NA,NA
AC,"Associated Capital Group, Inc.",40.62,$917.92M,2015,Finance,Investment Bankers/Brokers/Service
AIZ,"Assurant, Inc.",96.38,$5.98B,2004,Finance,Accident &Health Insurance
AIZP,"Assurant, Inc.",105.85,NA,NA,Finance,Accident &Health Insurance
AGO,Assured Guaranty Ltd.,39.94,$4.22B,2004,Finance,Property-Casualty Insurers
AGO^B,Assured Guaranty Ltd.,26,NA,NA,NA,NA
AGO^E,Assured Guaranty Ltd.,25.4,NA,NA,NA,NA
AGO^F,Assured Guaranty Ltd.,24.94,NA,NA,NA,NA
AZN,Astrazeneca PLC,36.55,$92.62B,NA,Health Care,Major Pharmaceuticals
HOME,At Home Group Inc.,21.59,$1.37B,2016,Consumer Services,Home Furnishings
T,AT&T Inc.,30.96,$225.33B,NA,Public Utilities,Telecommunications Equipment
TBB,AT&T Inc.,24.15,NA,2017,Public Utilities,Telecommunications Equipment
TBC,AT&T Inc.,24.48,NA,2018,Public Utilities,Telecommunications Equipment
ATTO,Atento S.A.,4.36,$322.24M,2014,Public Utilities,Telecommunications Equipment
ATH,Athene Holding Ltd.,43.49,$8.69B,2016,Finance,Life Insurance
ATKR,Atkore International Group Inc.,22.19,$1.05B,2016,Miscellaneous,Industrial Machinery/Components
AT,Atlantic Power Corporation,2.54,$277.81M,NA,Energy,Electric Utilities: Central
ATO,Atmos Energy Corporation,95.43,$11.15B,NA,Public Utilities,Oil/Gas Transmission
AUO,AU Optronics Corp,4.15,$3.99B,2002,Technology,Semiconductors
ACB,Aurora Cannabis Inc.,6.44,$6.43B,NA,Consumer Durables,Specialty Chemicals
ATHM,Autohome Inc.,72.64,$8.51B,2013,Technology,EDP Services
ALV,"Autoliv, Inc.",79.51,$6.93B,NA,Capital Goods,Auto Parts:O.E.M.
AN,"AutoNation, Inc.",37.92,$3.41B,NA,Consumer Durables,Automotive Aftermarket
AZO,"AutoZone, Inc.",844.32,$21.28B,NA,Consumer Services,Other Specialty Stores
AVLR,"Avalara, Inc.",42.17,$2.8B,2018,Technology,Computer Software: Prepackaged Software
AVB,"AvalonBay Communities, Inc.",184.09,$25.45B,NA,Consumer Services,Real Estate Investment Trusts
AGR,"Avangrid, Inc.",49.18,$15.2B,2015,Public Utilities,Electric Utilities: Central
AVNS,"Avanos Medical, Inc.",45.23,$2.15B,2014,Health Care,Industrial Specialties
AVYA,Avaya Holdings Corp.,15.2,$1.67B,NA,Public Utilities,Telecommunications Equipment
AVY,Avery Dennison Corporation,96.57,$8.37B,NA,Consumer Durables,Containers/Packaging
AVH,Avianca Holdings S.A.,4.64,$578.25M,2013,Transportation,Air Freight/Delivery Services
AVA,Avista Corporation,41.3,$2.71B,NA,Public Utilities,Power Generation
AVP,"Avon Products, Inc.",2.01,$889.14M,NA,Consumer Non-Durables,Package Goods/Cosmetics
AVX,AVX Corporation,16.74,$2.83B,NA,Capital Goods,Electrical Products
EQH,"AXA Equitable Holdings, Inc.",18.88,$9.98B,2018,Finance,Specialty Insurers
AXTA,Axalta Coating Systems Ltd.,25.57,$6.1B,2014,Basic Industries,Paints/Coatings
AXS,Axis Capital Holdings Limited,55.05,$4.6B,2003,Finance,Property-Casualty Insurers
AXS^D,Axis Capital Holdings Limited,23.37,NA,NA,NA,NA
AXS^E,Axis Capital Holdings Limited,23.23,NA,NA,NA,NA
AX,"Axos Financial, Inc.",27.8,$1.75B,NA,Finance,Savings Institutions
AXO,"Axos Financial, Inc.",25.36,NA,NA,Finance,Savings Institutions
AZUL,Azul S.A.,29.13,$3.29B,2017,Transportation,Air Freight/Delivery Services
AZRE,Azure Power Global Limited,8.91,$364.77M,2016,Public Utilities,Electric Utilities: Central
AZZ,AZZ Inc.,45.78,$1.19B,NA,Consumer Durables,Building Products
BGS,"B&G Foods, Inc.",28.51,$1.88B,NA,Consumer Non-Durables,Packaged Foods
BW,Babcock,0.575,$97.02M,2015,Capital Goods,Building Products
BGH,Babson Global Short Duration High Yield Fund,17.19,$344.79M,2012,NA,NA
BMI,"Badger Meter, Inc.",52.44,$1.53B,NA,Capital Goods,Industrial Machinery/Components
BCSF,"Bain Capital Specialty Finance, Inc.",18.25,$939.55M,2018,NA,NA
BHGE,"Baker Hughes, a GE company",24.12,$26.53B,2017,Energy,Metal Fabrications
BBN,BalckRock Taxable Municipal Bond Trust,21.58,$1.23B,2010,NA,NA
BLL,Ball Corporation,50.26,$17.05B,NA,Consumer Durables,Containers/Packaging
BANC,"Banc of California, Inc.",15.04,$761.82M,NA,Finance,Major Banks
BANC^D,"Banc of California, Inc.",25.8,NA,NA,NA,NA
BANC^E,"Banc of California, Inc.",25.4,NA,NA,NA,NA
BBVA,Banco Bilbao Viscaya Argentaria S.A.,5.95,$39.67B,NA,Finance,Commercial Banks
BBD,Banco Bradesco Sa,11.35,$75.97B,NA,Finance,Major Banks
BBDO,Banco Bradesco Sa,9.93,$66.47B,NA,Finance,Major Banks
BCH,Banco De Chile,30.97,$46.93B,NA,Finance,Commercial Banks
BLX,"Banco Latinoamericano de Comercio Exterior, S.A.",18.16,$718.02M,1992,Finance,Commercial Banks
BSBR,Banco Santander Brasil SA,12.87,$96.16B,2009,Finance,Commercial Banks
BSAC,Banco Santander Chile,31.7,$14.93B,NA,Finance,Commercial Banks
